Codigos,NOMBRE,TELA,Color,PRECIO EN USD,PRECIO EN $,,,
STLX05,Solo Tela,LUX,Esmeralda,30.00," $30,082.50",,,
STLX06,Solo Tela,LUX,Perla,30.00," $30,082.50",,,
STLX07,Solo Tela,LUX,Terracota,30.00," $30,082.50",,,
STLX08,Solo Tela,LUX,Rojo,30.00," $30,082.50",,,
STLX09,Solo Tela,LUX,Gris Cemento,30.00," $30,082.50",,,
STLX10,Solo Tela,LUX,Tostado,30.00," $30,082.50",,,
STLX11,Solo Tela,LUX,Gris Claro,30.00," $30,082.50",,,
STLX00,Solo Tela,LUX,A definir,30.00," $30,082.50",,,
STSB12,Solo Tela,Southbeach,SB12,27.00," $27,074.25",,,
STSB15,Solo Tela,Southbeach,SB15,27.00," $27,074.25",,,
STSB19,Solo Tela,Southbeach,SB19,27.00," $27,074.25",,,
STSB16,Solo Tela,Southbeach,SB16,30.00," $30,082.50",,,
STSB17,Solo Tela,Southbeach,SB17,30.00," $30,082.50",,,
STSB18,Solo Tela,Southbeach,SB18,30.00," $30,082.50",,,
STSB00,Solo Tela,Southbeach,A definir,30.00," $30,082.50",,,
STSH01,Solo Tela,SH,Blanco,30.00," $30,082.50",,,
STSH02,Solo Tela,SH,Marfil,30.00," $30,082.50",,,
STSH04,Solo Tela,SH,Vison,30.00," $30,082.50",,,
STSH00,Solo Tela,SH,A definir,30.00," $30,082.50",,,
STCB01,Solo Tela,Cordoba,Nieve,30.00," $30,082.50",,,
STCB02,Solo Tela,Cordoba,Marfil,30.00," $30,082.50",,,
STCB03,Solo Tela,Cordoba,Centeno,30.00," $30,082.50",,,
STCB04,Solo Tela,Cordoba,Camel,30.00," $30,082.50",,,
STCB06,Solo Tela,Cordoba,Tostado,30.00," $30,082.50",,,
STCB07,Solo Tela,Cordoba,Grafito,30.00," $30,082.50",,,
STCB08,Solo Tela,Cordoba,Plomo,30.00," $30,082.50",,,
STCB00,Solo Tela,Cordoba,A definir,30.00," $30,082.50",,,
STPA,Solo Tela,Pañalera,Natural,13," $13,035.75",,,
STME,Solo Tela,Melody,-,23," $23,063.25",,,
STJU,Solo Tela,Juliette,Antique ,28," $28,077.00",,,
STLI,Solo Tela,Licia,-,16," $16,044.00",,,
STLO,Solo Tela,Lola,-,15.5," $15,542.63",,,
RPA,Riel Europeo,Pañalera,Natural,13," $13,035.75",,,
RME,Riel Europeo,Melody,-,23," $23,063.25",,,
RJU,Riel Europeo,Juliette,Chalk ,28," $28,077.00",,,
RLI,Riel Europeo,Licia,-,16," $16,044.00",,,
RLO,Riel Europeo,Lola,-,15.5," $15,542.63",,,
RTU,Riel Europeo,Tussor,-,24," $24,066.00",,,
RPORT,Riel Europeo,Portobello,-,19," $19,052.25",,,
RVS,Riel Europeo,Voile Suizo,-,17," $17,046.75",,,
RGBAM,Riel Europeo,Gasa Bamboo,-,24," $24,066.00",,,
RVRV,Riel Europeo,Voile Rustico Varese,-,26," $26,071.50",,,
RPT,Riel Europeo,Pana Touch,Mostaza,42," $42,115.50",,,
RLOC,Riel Europeo,Lola Crush,-,20," $20,055.00",,,
RAME,Riel Europeo,Amelie,Jasper,31," $31,085.25",,,
RCHA,Riel Europeo,Charo,-,44," $44,121.00",,,
RLEON,Riel Europeo,Leonor,Plata,30," $30,082.50",,,
RMEL,Riel Europeo,Melanie,Piedra,49," $49,134.75",,,
RLAR,Riel Europeo,Larisa,-,17," $17,046.75",,,
RVOH,Riel Europeo,Voile de hilo,-,15," $15,041.25",,,
BPA,Barral,Pañalera,Offwhite,13," $13,035.75",,,
BME,Barral,Melody,Tiza,23," $23,063.25",,,
BJU,Barral,Juliette,Ivory,28," $28,077.00",,,
BLI,Barral,Licia,Arena,16," $16,044.00",,,
BLO,Barral,Lola,-,15.5," $15,542.63",,,
BTU,Barral,Tussor,-,24," $24,066.00",,,
